Risk ID,Risk Title,Threat ID,Threat Event,Vulnerability ID,Vulnerability,Affected Assets,Likelihood (1-5),Impact (1-5),Inherent Risk Score,Risk Level,Current Controls,Control Effectiveness,Residual Likelihood,Residual Impact,Residual Risk Score,Residual Risk Level,Control Recommendations,Owner,Due Date,Status,Remediation Progress,Evidence Location,Last Review Date,Next Review Date
R-001,SQL Injection in Health Records API,T-001,SQL injection attack on health records API,V-001,Lack of input validation on health records API,"ASSET-001 (Cloud SQL), ASSET-005 (FastAPI)",5,5,25,CRITICAL,"ORM (SQLAlchemy) provides some protection",LOW,2,3,6,LOW,"1. Implement strict input validation (whitelisting); 2. Use parameterized queries exclusively; 3. Deploy WAF with SQL injection detection; 4. Automated SQL injection testing in CI/CD",Engineering Lead,2026-02-01,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-001/,2026-01-09,2026-04-10
R-002,Cloud SQL Database Publicly Accessible (Public IP),T-011,Database publicly exposed via configuration error,V-002,Cloud SQL database has public IP enabled,ASSET-001 (Cloud SQL),5,5,25,CRITICAL,"Firewall rules restrict access, but public IP exists",LOW,1,2,2,VERY LOW,"1. Disable public IP on Cloud SQL instance; 2. Use private IP with VPC peering; 3. Organization Policy: Deny public IPs; 4. Weekly automated compliance scan",SRE Lead,2026-01-15,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-002/,2026-01-09,2026-04-10
R-003,Insufficient Access Controls on ePHI (Overly Permissive IAM),"T-002, T-005","Unauthorized access, Insider exfiltration",V-003,Overly permissive IAM roles on Cloud SQL,"ASSET-001 (Cloud SQL), ASSET-003 (Cloud Storage)",4,4,16,HIGH,"Basic IAM roles, but no least-privilege enforcement",MODERATE,3,3,9,MODERATE,"1. Implement least-privilege IAM (roles, not individual permissions); 2. Quarterly access reviews; 3. MFA required for all Cloud SQL access; 4. Just-in-time (JIT) access for SRE team",Security Lead,2026-02-28,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-003/,2026-01-09,2026-04-10
R-004,DDoS Attack Causing Service Outage,T-004,DDoS attack on API endpoints,V-011,No DDoS protection beyond basic Cloud Armor,"ASSET-002 (GKE), ASSET-007 (Load Balancer)",5,3,15,HIGH,Cloud Armor with basic rate limiting,MODERATE,3,2,6,LOW,"1. Configure Cloud Armor advanced rules; 2. Deploy rate limiting at application layer; 3. Auto-scaling for GKE (HPA); 4. DDoS response playbook",SRE Lead,2026-03-31,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-004/,2026-01-09,2026-04-10
R-005,Phishing Attack Compromising Employee Credentials,T-006,Phishing attack compromising employee credentials,V-006,No MFA enforcement for all users,All HIPAA assets,4,4,16,HIGH,MFA available but not enforced for all users,LOW,3,3,9,MODERATE,"1. Enforce MFA for all users (Google Workspace, GCP, GitHub); 2. Deploy phishing-resistant MFA (WebAuthn/FIDO2); 3. Quarterly phishing simulation training; 4. Email security (DMARC, SPF, DKIM)",Security Lead,2026-02-15,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-005/,2026-01-09,2026-04-10
R-006,ePHI Leaked to Sentry Error Logs (Non-HIPAA Service),T-009,ePHI leaked to Sentry error logs,V-005,Sentry PHI scrubber not tested,"ASSET-005 (FastAPI), ASSET-010 (Sentry)",4,4,16,HIGH,Sentry before_send() hook with PHI scrubbing (not tested),MODERATE,2,3,6,LOW,"1. Automated tests for Sentry PHI scrubbing (test_sentry_error_does_not_contain_phi); 2. CI/CD check: Fail build if Sentry event contains PHI patterns; 3. Developer training on PHI scrubbing; 4. Monthly audit of Sentry events for PHI leakage",Engineering Lead,2026-02-15,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-006/,2026-01-09,2026-04-10
R-007,Weak Session Timeout (30 min instead of 15 min),T-023,Session hijacking,V-007,Weak session timeout (30 minutes instead of 15),"ASSET-008 (Vercel Frontend), ASSET-005 (FastAPI)",3,3,9,MODERATE,30-minute session timeout,LOW,1,3,3,LOW,"1. Reduce session timeout to 15 minutes (HIPAA best practice); 2. Implement auto-logout on inactivity; 3. Clear session on browser close",Engineering Lead,2026-03-15,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-007/,2026-01-09,2026-04-10
R-008,Cloud KMS Encryption Key Compromise,T-008,Cloud KMS key compromise,None,None (low likelihood but high impact),"ASSET-004 (Cloud KMS), ASSET-001 (Cloud SQL), ASSET-003 (Cloud Storage)",3,4,12,MODERATE,"IAM restrictions, audit logging, 90-day rotation",MODERATE,2,3,6,LOW,"1. Upgrade to HSM-backed keys (FIPS 140-2 Level 3); 2. Alert on any Cloud KMS key access; 3. Implement key access approval workflow; 4. Test key rotation procedure",Security Lead,2026-04-30,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-008/,2026-01-09,2026-04-10
R-009,Ransomware Encrypting ePHI,T-003,Ransomware encrypting ePHI,None,None (assumes multiple security failures),"ASSET-001 (Cloud SQL), ASSET-003 (Cloud Storage)",3,4,12,MODERATE,"Daily backups with PITR, immutable backups (retention lock)",MODERATE,2,2,4,LOW,"1. Test backup restoration monthly (already planned); 2. Implement offline backup copies (air-gapped); 3. Deploy endpoint detection and response (EDR); 4. Ransomware response playbook",SRE Lead + Security Lead,2026-05-31,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-009/,2026-01-09,2026-04-10
R-010,ePHI Sent via Email (SendGrid),T-010,ePHI sent via email (SendGrid),None,SendGrid PHI detection not implemented,"ASSET-005 (FastAPI), ASSET-010 (SendGrid)",4,3,12,MODERATE,None - No automated PHI detection,NONE,2,2,4,LOW,"1. Implement PHI detection in send_email() function; 2. Block emails containing PHI patterns; 3. Audit log all blocked emails; 4. Developer training on email PHI policy",Engineering Lead,2026-03-31,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-010/,2026-01-09,2026-04-10
